Yoga-Asan,Description,Benefits,Level,Contraindication,Balancing posture,Instructions,Breathing,Source,Video link,Photo
Urdhva Dhanurasana,"Wheel Pose was the peak pose that I used when teaching my first ever class. I’ve noticed that many people can be intimidated by it, but what makes it so special is how many people can enter into it when they thought it wasn’t possible. You can surprise yourself in this pose, demonstrating strength that you didn’t know you had, but that’s been there all along.","This energy-boosting pose stretches your chest and lungs. It also strengthens your arms, wrists, legs, buttocks, abdomen and spine.",Difficult pose. Requires both strength and flexibility.,"Injured knees, Pregnancy, Soulders injured, Neck injured","Paschimottanasana (Seated Forward Bend)

Ananda Balasana (Happy Baby Pose)

Balasana (Child’s Pose)","Begin on your back with your knees bent and your feet planted hip-distance apart and parallel, directly under your knees, which should also be hip-distance apart.
Place your hands alongside your ears with your palms down and your fingers pointing toward your shoulders.
Without letting your feet or your knees splay apart, take an inhalation, then use an exhalation to lift yourself partway and place the crown of your head on the mat. Do not rest any of your weight on your head.
Pin your elbows into your midline, draw your elbows toward one another, pull your upper arms into their sockets, and start to arch your middle and upper back.
Maintaining all these actions, with the next inhalation, press down with your hands and feet, and lift into the pose.
Straighten your arms as much as possible but keep at least a slight bend in your knees.
Make sure your feet have not turned out, and root down with your big toe mounds.
Rotate your inner thighs to the floor, and reach your tailbone toward your feet toward the backs of your knees. Let your head hang freely, and lift your sternum in the direction you are facing while directing your tailbone toward your feet.
To deepen, walk your feet closer to your hands, keeping your forearms and shins perpendicular to the floor and parallel to each other.
Hold for 5–10 breaths (walk your feet out if they had moved in), then lower directly to the floor (without stopping on the crown).",Stay here breathing easily for thirty seconds. Then relax back down and come out of the pose.,2129 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1EoLBjv0RWzwS4fUXSSEeJqTBUaRxRCpL/view?usp=sharing
Bakasana,"Crow was the first challenge pose that I ever tried, and to this day it’s still the pose that I turn to when I want to feel strong, grounded, and confident,” says Kyle Houseworth, YJ assistant editor. “For years I had to constantly check step-by-step guides to make sure I was practicing it correctly (where should the knees go?) and that’s why it’s still a staple in my practice. There’s always something new to tweak, no matter how many times I get into it.","Crow Pose and Crane Pose improve focus, and stretch your buttocks (glutes), your back, and the palm sides of your wrists (wrist flexors). These poses also strengthen your core, upper back, chest, front of your hips (hip flexors), back of your thighs (hamstrings), arms, shoulders, forearms, and back of your wrists (wrist extensors).",Difficult pose. Requires both strength and flexibility.,Suffering from any health conditions related to the stomach.Not to be done when pregnant.If there is injury at the knee and the lower back.Go slow with the pressure at the hips and the shoulders.,"Balasana (Child’s Pose)

Ustrasana (Camel Pose)

Urdhva Hastasana (Upward Salute)","Begin in a squat with your knees wide apart. Your feet may be together or apart.
Place your hands on the floor 6–8 inches in front of your feet and shoulder-distance apart. If your shoulders are tight, your hands can be a little wider.
Come onto the balls of your feet and lift your hips high. Bring your knees toward your upper arms.
Tilt your torso forward so that your shoulders fit between your knees.
Firmly press your knees to your upper arms. You can balance them on your triceps for Crow or tuck them closer to your armpits for Crane.
Continue to reach your chest forward until your elbows stack over your wrists and you feel your center of gravity shift.
Lift your heels toward your buttocks. Your knees can either grip your outer shoulders or balance on your triceps.
For Crane, press your arms as straight as possible while bringing your feet and buttocks toward each other.
Hold for 5–10 breaths, then either release your feet to the floor.","It opens the chest, encouraging the breath to become slow and deep.",2130 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1iNgCNRVZ3JUPctGCt_EV6cMwPc3_XmIb/view?usp=sharing
Tadasana Urdhva Baddha Hastasana,"Tadasana urdhva baddha hastasana is a variation of tadasana that has the hands or arms bound above the head. And within this pose, there are two variations: one with the arms bent and the other with the arms straight and the hands bent and folded together.","Boosts confidence and helps treat depression
Relieves arthritis
Stretches the shoulders, arms, wrists, and fingers
Helps to treat spinal disorders
Tones and activates the torso, back, abdomen, and pelvis
Strengthens the knee joints
Reduces sciatic pain
Corrects flat feet",beginners.,"Heart diseases
Stress related headaches
Migraines
Low blood pressure
Insomnia
Osteoarthritis of the knees
Bulimia
Diarrhea
Leukorrhea
In case you have high blood pressure, do not hold the pose for more than 15 seconds.
if you have had polio, are knock-kneed, or have a problem with your balance, keep your feet 8 in (20 cm) apart.
if you are prone to backaches, have a slipped disk, or a prolapsed uterus, keep the tips of the big toes together and keep your heels apart.","Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.","Begin with Standing on your feet in Tadasana against a wall, on an even, uncovered surface.
Then slowly Bring your arms toward your chest
Do remember your palms needs to face your chest.
Now Interlock your fingers firmly, from the base of the knuckles, with the little finger of your left hand lower than the little finger of the right hand.
Turn your interlocked palms inside out.
Exhale, and stretch your arms out in front of you at shoulder level.
Then inhale, and raise your arms above your head until they are perpendicular to the floor.
Extend your arms fully and lock your elbows.
Feel the stretch in your palms.
Hold the pose for 30-60 seconds.",Need breathing instructions for Tadasana Urdhva Hastasana Tiptoes Interlocked Fingers Vinyasa? You can submit request here and we will notify you as soon as they are ready.,2131 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1mTYHEkOSMSuDne-ueoBQ4ujXFyRZ9zqe/view?usp=sharing
Parivritta Namaskar Stiti Utthita Vayu Muktyasana,"A lunging back bending asana in modern yoga as exercise. It is sometimes included as one of the asanas in the Surya Namaskar sequence, though usually with arms down in that case.","Improves the digestive system.

Strengthens the abdominal muscles. 

Massages the internal organs.

Improves blood circulation.

Relieves tension in the lower back.

Stimulates the reproductive organs.

Burns belly fat.",It is a mid-level balance posture.,"severe lower back pain,  Injured knees, Pregnancy, Soulders injured, Neck injured.","The palms or the fingertips should be rested on the ground either side of the body. The upper-body should be extending upward through the crown of the head, and the back should be completely perpendicular to the ground .","Begin in Tadasana / Mountain Pose.

Exhale and raise your right leg up. Bend your knee and bring it closer to your chest. 

Twist your torso to your right side. Bring your left elbow over your right knee. Bring your left hand under your right knee. Inhale and bring your right hand behind your back. Bring it closer to your left hand and interlace your fingers.

Stay in this pose for 3 long breaths.

To come out of this pose release your hands and come into Tadasana / Mountain Pose. 

Repeat the sequence on your left side for the same amount of time.",normal breathing.,2132 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1xitWG9JpXYEOfFqqmYZxAEhyaMz61IPL/view?usp=sharing
Gupta Padmasana,"Hidden Lotus Pose (Gupta Padmasana) is a combination of Padmasana (Lotus Pose) and Advasana (Reverse Corpse Pose). This variation requires the strength of the hips, knees, and ankles to support the upper body while in a forward bend. Squeezing the knees and ankles with the stability of the hips, the body moves in prone - lying flat on the floor, and finally moving into a lock with the hands behind in Anjali Mudra (Namaskar Mudra). In Sanskrit, gupta = hidden/preserved/guarded, thus hiding one's anger, anxiety, tensions, negativities, etc., and preserving what is good for the body and mind. Thus when in Hidden Lotus Pose the students should be encouraged to practice mindful breath-body connections.","Strengthens and improves flexibility in the inner thighs, groins and the knees.Helps prepare the hips and groins for meditative seated poses, which require more flexibility in these areas.Helps to sooth menstrual discomfort and digestive complaints.","An advanced level hip-opening yoga posture, along with powerful pose mentally and physically.","This Posture is not for a pregnant one who should avoid this practice.
Those who are having knee injuries or ailments also should avoid this posture.
People who have lower back pain degenerated disc, sciatica pain should not attempt this posture. If at all they want to have this practice, it should be done under competent guidance.","A variation on Gupta Padmasana, or side plank, with one leg behind the head. It's a powerful pose mentally as well as physically because it requires opening and expansion in a challenging place, which can go against the natural tendency to want to shrink from difficulty.","Sit in Lotus Posture. Lean forward and place the palms on the floor and raise the buttocks. Stand on your knees.


Now lower the body to the floor. Lying flat, stretch your neck and rest on the chin.


Place the palms together behind the back and keep them in Anjali Mudra. The fingers should face the direction of the head by placing the little fingers on the back.


Close your eyes or fix the eyesight on any object in front. Breathe slowly. Retain the position as long as you are comfortable.",Stay here breathing easily for thirty seconds. Then relax back down and come out of the pose.,2133 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1SE0cHhaM9hT_Iv1ZkD114wYig4A2ooZU/view?usp=sharing
Dandasana,"A back bending asana in hatha yoga and modern yoga as exercise.The name comes from the Sanskrit words dhanur meaning ""bow""and āsana meaning ""posture"" or ""seat"".","This seated posture strengthens the back muscles and improves your posture. It also stretches your upper body, including your shoulders and chest.",This pose is one of the basic backbend poses introduced at the beginner level,Suffering from any health conditions related to the stomach.Not to be done when pregnant.If there is injury at the knee and the lower back.Go slow with the pressure at the hips and the shoulders.,"Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.",Press your palms on the floor and lift your hips and legs off the floor. Now bend your left knee and hook the left ankle with the right ankle. Extend both legs towards the right. Shift your weight ahead and bend your arms at the elbows while keeping your shoulders square.,Your breathing must be deeper and rhythmic.,2134 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1vPqE__d3vK5h6FwmQArHu139lD3H2csC/view?usp=sharing
Setu Bandhasana,"Bridge Pose (Setu Bandha Sarvangasana) is one of the first back-bending yoga postures that many new students learn. And yet, much like the rest of an asana practice, it is also a posture from which you can continue learning for your entire lifetime.","Strengthens the back muscles
Relieves the tired back instantaneously
Gives a good stretch to the chest, neck and spine
Calms the brain, reducing anxiety, stress and depression
Opens up the lungs and reduces thyroid problems
Helps improve digestion
Helps relieve the symptoms of menopause and menstrual pain
Helpful in asthma, high blood pressure, osteoporosis, and sinusitis",this is an intermediate-to-advanced level move in yoga.,Avoid doing this pose if you are suffering from neck and back injuries.,"It is performed dandasana like sitting position on the floor stretching the legs, arms, and spinal muscles. It requires great strength and balance to hold the pose.","To begin, lie on your back.
Fold your knees and keep your feet hip distance apart on the floor, 10-12 inches from your pelvis, with knees and ankles in a straight line.
Keep your arms beside your body, palms facing down.
Inhaling, slowly lift your lower back, middle back and upper back off the floor; gently roll in the shoulders; touch the chest to the chin without bringing the chin down, supporting your weight with your shoulders, arms and feet. Feel your bottom firm up in this pose. Both the thighs are parallel to each other and to the floor.
If you wish, you could interlace the fingers and push the hands on the floor to lift the torso a little more up, or you could support your back with your palms.
Keep breathing easily.
Hold the posture for a minute or two and exhale as you gently release the pose.",Keep breathing normally and hold the pose for 5 breaths before you discharge the pose.,2135 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1hCcKfItPJM06FGKRr081zGjttFEPft_3/view?usp=sharing
Pada Garudasana in Baddha Hasta Salamba Sarvangasana,"Pada Garudasana in Baddha Hasta Salamba Sarvangasana , Sanskrit बद्धहस्तसालम्बसर्वाङ्गासन Pāda -Garuḍāsana in Baddha-Hasta-Sālamba - Sarvāṅgāsana n . Pada Garudasana in Baddha Hasta Salamba Sarvangasana is practiced as a variation of Sarvangasana . Word meaning: Pada - foot, leg; Garuda - mythical bird, king of birds, mount of Vishnu; Baddha - tied, entangled, folded; hasta - hand, forearm; Salamba- supported; Sarva - all(it); anga - limb, body; Sarvanga - the whole body, all parts of the body; Asana posture.","Arms strengthen, core to help hold you up,glutes and adductors,shoulder stabilizers.It helps make your wrists stronger.Stretches your upper back and groin.Your spine is toned and strengthened.",Advanced,"High blood pressure, low blood pressure, diarrhea, insomnia, headache",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,"Come into a high plank by positioning your wrists directly under your shoulders and maintaining a slight bend in your elbows.On an exhale, bend your elbows and lower your shoulders so they're at the same height as your elbows.Tightly squeeze your elbows in toward your body.",normal breathing.,2136 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1G903wtauSXmxgTl9rcRrt8Prr6-Ou6pp/view?usp=sharing
Picha Mayurasana,"In this pose, keep your shoulder blades lifted and broadened while pressing your forearms, wrist, and palms into the ground for a strong, supportive base. Pull your navel in towards your spine and squeeze your knees together, then allow your head to relax and hang between your triceps. Beginners might find it helpful to stay near a wall while learning to find balance in Pincha Mayurasana.","Feathered Peacock improves postural and body awareness, circulation (both lymphatic and venous), and your posture. It can boost energy and fight fatigue and build confidence and empowerment. Feathered Peacock mainly strengthens your core, back, chest, arms, shoulders, thighs, and buttocks (glutes).",Difficult pose. Requires both strength and flexibility.,"severe lower back pain,  Injured knees, Pregnancy, Soulders injured, Neck injured.","Balasana (Child’s Pose)

Uttanasana (Standing Forward Bend)

Paschimottanasana (Seated Forward Bend)","If you are new to this pose, practice against a wall for support. Start in Tabletop with your palms and forearms on the floor. Your forearms should be parallel to each other at shoulder width.
Bend one left knee and step that foot in, keeping the other leg active by extending through the heel. Take a few practice hops.
Sweep your active leg up while you kick your other foot off the floor, immediately pushing through the heel to straighten your leg. Try this several times, each time pushing off the floor a little higher.
Eventually you will be able to kick all the way up. You may crash into it at first, but with practice you’ll be able to swing your heels up lightly.
Stay in the pose 10 to 15 seconds, working your way up to 1 minute. When you come down, try not to sink into the shoulders, and remove one foot at a time.",normal breathing.,2137 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/106wbzc8ChhyINqaFEzeGJBqxObpEjlJw/view?usp=sharing
Hasta Gomukhasana,A reclining back-bending asana in hatha yoga and modern yoga as exercise.It is commonly performed in a cycle of asanas in Surya Namaskar.,"This asana induces relaxation and alleviates tiredness, tension and anxiety. It stimulates the kidneys. Good for diabetes, back ache, sciatica, rheumatism. Relives general stiffness in the shoulders and neck, extends latissimus dorsi fully, Relieves and prevents cramps in the legs. Chest is opened and the leg muscles become supple.",beginners.,Avoid this pose if you have a knee or back injury.,"It is performed dandasana like sitting position on the floor stretching the legs, arms, and spinal muscles. It requires great strength and balance to hold the pose.","In sitting position bend the left leg and place the left foot on the ground over the right knee. Bend the right leg and fold it so that it is resting on the ground with the right heel near the left buttock. Adjust the right knee so that it rests on the left knee. Stretch the right arm above the head, bend it and place the palm on the back. Bring the left arm behind your back from the lower side. Try to reach the fingers to clasp both hands together. Keep the neck, head and spine straight. Press the back side of the head against the inside of the raised arm. Close the eyes and relax.",Inhale and while exhaling release your hands to your sides. Straighten the bottom leg in front of you. Straighten the other leg returning to sitting position. Now practice on the other side.,2138 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,https://drive.google.com/file/d/1XfpycL1F3CT2pbAUgViOvtO3ifYP_spD/view?usp=sharing
Sukhasana,"Sukhasana (Soo-kaah-SUN-ah) — is a foundational posture used for seated meditation in lieu of Lotus Pose. The name Easy Pose can be misleading, as this posture requires hip flexibility and back strength in order to hold the pose for longer periods of time. For those with tight hips and/or those used to sitting in chairs, Easy Pose may require extra practice and warm up. It gets its name from the Sanskrit words, Sukha, meaning easy, and asana, meaning posture.","High Blood Pressure, anxiety,  relieves fatigue, improves posture improvement, recovery after sports, relieves lower back pain",beginners.,"Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,"Sit on the floor. For those with tight hips, sit on top of a block, bolster, or folded towel.

Cross one shin in front of the other, bringing each foot underneath the opposite knee.

Relax your feet with the pinky toe edge resting on the floor.

Sit with your pelvis in a neutral position

On an inhale, roll your shoulders up to your ears and on an exhale, roll your shoulders down your back. This straightens your spine and improves posture.

Bring your head over your pelvis, creating one long line of energy up and down your body. Imagine that a string is pulling the crown of your head towards the ceiling.

Elongate your neck. Bring your chin parallel to the floor and gaze gently in front of you.

Release every muscle in your face, including your forehead, scalp, and tongue. Fully relax your face while keeping the rest of your body active.

Place your hands on top of your knees. Palms can be facing the down or facing the sky with the option of taking a mudra position.",Your breathing must be deeper and rhythmic.,2139 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,
Vyaghrasana,Vyaghra' means 'Tiger' in Sanskrit and here this pose depicts the posture of a tiger. The body is stretched deep and is compared to that of a tiger stretching its body when it wakes up. Hence the name Vyaghrasana (Tiger Pose). This pose is done on fours where the spine is stretched to the maximum giving a great opening to the hips and the thighs. This pose is generally done from the Cat Cow Pose position. This is also considered as a great balancing pose and one requires to work on simple balancing poses to get this posture right.,Vyaghrasana helps boost energy in the body and hence can be included in flow yoga sequences.,beginners.,"
The practice of this pose can be harmful or can cause more pain if one is suffering from severe sciatica, or in the case of slipped disc, or injury at the knees, hips, wrists or shoulders. Pregnant women should take complete guidance and support with the practice of this pose.","Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.","Sit in Vajrasana. >Inhaling raise the arms forward to shoulder height and come up onto the knees. >Exhaling place the palms on the floor under the shoulders, arms straight. Draw the right knee under the body and lower the head towards the knee, so that the nose (or forehead) and knee touch. >Inhaling keep the knee bent and extend the right leg backwards. But don’t turn up the right pelvis. Raise the head and look up. >Exhaling move the head and knee towards each other. >Practice this flexing and extending movement in rhythm with the breath another 3 times. >Inhaling come back up onto the knees. >Exhaling return to starting position. Practice the exercise with the other leg.","It opens the chest, encouraging the breath to become slow and deep.",2140 Asanas: The Complete Yoga Poses - by Daniel Lacerda,,
Niralamba Vyaghrasana ,"Niralamba Vyaghrasana  is one of the first back-bending yoga postures that many new students learn. And yet, much like the rest of an asana practice, it is also a posture from which you can continue learning for your entire lifetime.","Arms strengthen, core to help hold you up,glutes and adductors,shoulder stabilizers.It helps make your wrists stronger.Stretches your upper back and groin.Your spine is toned and strengthened.",beginners.,"Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy",Don't place your hands too close to your hips. They need to be about a foot in front of your hips so you can bend your elbows and lift your hips.If your outer elbow isn't close to your ribs your outer shoulder will drop too low and you will have increased pressure on it.,Sit in Vajrasana pose.Place your right palm on your left palm; keep them on the navel.Now press your stomach inwards.Exhale and bend forward and keep looking straight.Hold your breath and position for some time.Slowly inhale and come back to starting Position.,Your breathing must be deeper and rhythmic.,,,
Eka Hasta Eka Pada Bitilasana,"Eka Hasta Eka Pada Bitilasana is an asymmetric forward bending pose that involves stretching and twisting together. It belongs to the primary Ashtanga yoga series.In Janu Sirsasana, ‘Janu‘ means ‘knee’, ‘Sirsa‘ refers to ‘head’, and asana means pose.",Stretches and stimulates the organs of your belly and throat. Strengthens your upper back and the back of your neck. Relieves stress and irritation. Improves posture.,advanced,If you have any serious knee or ankle problems or menstruation avoid the Ardha Virasana (Half Hero Pose) leg position in this pose unless you have the assistance of an experienced instructor.,"Kneel on the floor with your toes together and your knees hip-width apart. Rest your palms on top of your thighs. On an exhale, lower your torso between your knees. Extend your arms alongside your torso with your palms facing down. Relax your shoulders toward the ground.","Begin in a squat with your knees wide apart. Your feet may be together or apart.
Place your hands on the floor 6–8 inches in front of your feet and shoulder-distance apart. If your shoulders are tight, your hands can be a little wider.
Come onto the balls of your feet and lift your hips high. Bring your knees toward your upper arms.
Tilt your torso forward so that your shoulders fit between your knees.
Firmly press your knees to your upper arms. You can balance them on your triceps for Crow or tuck them closer to your armpits for Crane.
Continue to reach your chest forward until your elbows stack over your wrists and you feel your center of gravity shift.
Lift your heels toward your buttocks. Your knees can either grip your outer shoulders or balance on your triceps.
For Crane, press your arms as straight as possible while bringing your feet and buttocks toward each other.
Hold for 5–10 breaths, then either release your feet to the floor.",normal breathing.,,,
Matsyasana,"A asana sometimes used in the Surya Namaskar sequence in modern yoga as exercise, where the body is balanced on eight points of contact with the floor: feet, knees, chest, chin and hands.","It is a good pose for meditation and Tantra Yoga practices. It awakens the Kundalini energy by redirecting the apana upwards to the higher Chakras.It makes the legs, joints of legs, feet and low back flexible, makes feet and legs supple.Good for your back and posture.",beginners.,"Avoid it while recovering from a recent surgery around the shoulders, spine, arms, or hips.People with a herniated disk or lower back issues must avoid this asana.Women during pregnancy and menstruation must avoid this pose.",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,Press your palms on the floor and lift your hips and legs off the floor. Now bend your left knee and hook the left ankle with the right ankle. Extend both legs towards the right. Shift your weight ahead and bend your arms at the elbows while keeping your shoulders square.,normal breathing.,,,
Uttana Padasana,"An asana in which the performer of the asana assumes the pose of an inverted tree, he stands on his hands. Therefore this asana is called Adho Mukha Vrksasana i.e. Tilted Tree Pose or Handstand Pose. ","Positive effects on the musculoskeletal system. It stretches the hamstring and calf muscles in the backs of the legs, and builds strength in the shoulders.",advanced,"Wrist injuries and recent surgeries, carpal tunnel syndrome, slipped discs, along with other spinal issues, pregnancy.","To improve balance practice this pose facing a wall. Press the big toe of the front foot against the wall and stretch your arms up, finger tips to the wall.","Start with  Parsva Bakasana (twisted crane posture).Lean forward and bend your elbows 90 degrees, so that the biceps are parallen to the ground and the forearm perpendicular.Straighten your legs, the inner edges of the foot should be close together. Stay in the posture for as long is comfortable, and slowly comeback to the squatting position.",normal breathing.,,,
Mayurasana,Mayūrāsana or Peacock pose is a hand-balancing asana in hatha yoga and modern yoga as exercise with the body held horizontal over the hands. It is one of the oldest non-seated asanas.,"Mayurasana provides good stretch to the arms and back.The asana strengthens the forearms, elbows, legs, back (spine), torso and wrist joints.It helps in improving the posture and is a good remedy for posture induces health issues especially those pertaining to limbs, spine and joints.","Mayurasana, the yoga pose named on peacock, is an advanced level arm balancing pose. Among the 15 asanas of Hatha Yoga, mayurasana is one of the non-seated poses.","Avoid Mayurasana if you have wrist or elbow injuries, or if you have high blood pressure, hernia, or ulcers. Pregnant or menstruating women should also avoid this pose.","Move into a squatting position. The knees are slightly apart, the feet close together. > Bend forward and place the hands on the floor, with fingertips pointing back towards the feet. Press the forearms together and support the abdomen on the elbows.","Place your heels close to each other and make sure that your knees are wide apart. Now, kneel forward, place your palms on the ground between your knees with your fingers pointing towards your body. Gently bend your elbows and press them towards your abdomen, putting all your body weight on your hands.","Breath:normal breathing, Repetitions:1–2 times",,,https://drive.google.com/file/d/1zrct1CgFa27thAm4mjTE_XL9Hp-rM0El/view?usp=sharing
Siddhasana,An asana used for meditation and other yogic practices. In Sanskrit ‘Siddha’ means ‘accomplished’ or an ‘adept’ and ‘asana’ means a ‘pose’. Siddhasana is mentioned in the Hatha Yoga text Hatha Yoga Pradeepika as one of the four most powerful sitting poses suited for meditation.,"Practicing Siddhasana can improve your posture, lengthen your spine, and open your hips, chest, and shoulders. Since you can maintain this pose for long periods of time, it's also an ideal position for meditating. It's also an excellent exercise for increasing flexibility in your hips and groin/inner thigh muscles.","Level: Beginner. Siddhasana, also known as the accomplished pose or perfect pose, is a beginner level yoga position.","The crossing of the legs and the internal rotation of the hips play a crucial role when seated in Swastikasana.For those with arthritis of the knees, hips, and feet should avoid sitting on the floor.","Since you can maintain this pose for long periods of time, it's also an ideal position for meditating. It's also an excellent exercise for increasing flexibility in your hips and groin/inner thigh muscles.",Extend legs straight in Dandasana & bend the left leg.Bend right leg over left leg & press pubis with right heel.Tuck right toes in between left thigh & calf and sit up tall.Acquire Mudra to deepen practice.Release.,You will gain the most benefits from the Siddhasana by staying in the position for long holds while practicing deep breathing.,,,https://drive.google.com/file/d/1pH9bLNSLGsyhSInQQQAX5gVqHqRy01cX/view?usp=sharing
Natarajasana,"Natarajasana (Dancer Pose or Lord of the Dance Pose) is a deep backbend that requires patience, focus, and persistence. The pose is named after the Hindu god Shiva Nataraja, King of the Dance, who finds bliss in the midst of destruction.","Practicing this asana gives strength to your chest, ankles, hips, and legs.This asana increases your metabolism and helps in weight loss.It gives your groin, abdominal organs, and thighs a good stretch.Your posture is improved, and balance is increased.It helps better your digestion.","An intermediate/ advanced-level asana, natarajasana helps to cultivate strength, openness, and an elegance of form and action amid the powerful energy required to balance on one leg while in a deep backbend.",So to be avoided by anyone having injury anywhere in the body. Someone suffering from slip disc should avoid this completely. As a lot of pressure is felt at the lower back. Someone with carpal tunnel syndrome should avoid this pose as the wrists are twisted to grab the toes to help bring the leg high.,Bend your left knee to lift your left foot off the floor. Keep your left knee hugging toward your midline throughout this pose. Grasp the instep of your left foot with your left hand. Your thumb is resting on the sole of your foot and pointing in the direction of your toes.,"Relax the body in Mountain Pose breathing normally.Bend the right knee to raise the leg towards the buttocks. Maintain your body weight on left leg.While you raise the leg, rotate your shoulder so that the elbow of the right arm point upwards.","Hold for five breaths. To release, very slowly and gently return to your starting position. Then lower your right foot and come back into Mountain Pose. Repeat the pose on the opposite side for the same amount of time. Keep breathing throughout the pose. Do not hold your breath.",,,https://drive.google.com/file/d/1D-lhIRtG1qFkDl31BXpEcBw_b_xG8AOn/view?usp=sharing
Navasana,"Navasana is the yoga pose where you mimic the shape of the boat.The name comes from the Sanskrit words nava meaning ""boat"" and asana meaning ""posture"" or ""seat"".","Helps stretch your hamstrings.Helps to relieve tension.Abdominal muscles are toned and strengthened.Improves digestion and balance.Enhances self-assurance.Improves the strength of your spine and hip flexors.The kidneys, thyroid, and prostate glands, as well as the intestines, are all stimulated.",Paripurna Navasana (Complete Boat Pose) is an intermediate level practice that involves forward bend.,"Avoid this pose if you have any chronic lower back or abdominal conditions. Women who are menstruating and who are pregnant should not do this pose.People with long tail bones will have difficulty doing this pose, instead, use a strap around the upper back and the feet to keep the back lifted. Or you can keep the palms in cup shape by the sides of the hips to maintain balance.",You are forming a triangular shape that balances your body with the weight of your legs and back supported by your tailbone with hands holding your thighs.,"Sit with your knees bent, feet on the floor.Engage your inner thighs and draw your lower belly in and up.Tip back on the back of your sitting bones and lift your feet up to about knee height, toes spread out.Bring your arms parallel to the floor.To go further, straighten your legs.",Slowly release the legs bending the knees. Bring the feet down and relax in Dandasana stretching the lower back by bringing it inside placing the palms on the floor behind you and throwing the head back a bit. Relax the body with slow breathing and bring the muscles to rest.,,,https://drive.google.com/file/d/1ey8TLfhj1bptqVgL5QuWX6H47LhvDGz3/view?usp=sharing
Uttana Padasana,"An asana in which the performer of the asana assumes the pose of an inverted tree, he stands on his hands. Therefore this asana is called Adho Mukha Vrksasana i.e. Tilted Tree Pose or Handstand Pose. ","makes your shoulders, wrists and arms strong. It enhances your sense of balance and enables you to get a better balance. The asana enhances the blood circulation in the body. The Handstand Pose calms your nerves and brain, keeps you relaxed","Advanced level, generally performed in many athletic activities, including acro dance, cheerleading, circus, yoga, calisthenics, and gymnastics","People with spine, hip, ankle, wrist, knee, and shoulder surgeries or injuries should avoid this pose.",Keep your gaze focused at one point to balance. Draw your belly toward your spine. Reach your tailbone toward your heels. Keep your shoulder blades lifted as you come out of the pose.,"Bring your feet together at the middline; spread your palms and press them into the floor.Step your right foot forward halfway to your hands and bringing your shoulders over your wrists.Keep your arms firm.Once you have found balance, draw your legs together.",normal breathing.,,,https://drive.google.com/file/d/1jFwR_oCQRVqgrQdrOKqR_Zbf-qW9m3o0/view?usp=sharing
Ardha Baddha Parivritta Malasana,The posture resembles an archer about to release an arrow. Involves pulling the foot towards the ear from a seated position with the legs outstretched. ,"Back bending will strengthen your back and abdominal muscles and enhance your spine, helping relieve pain.The bow pose stimulates the reproductive organs and helps in improving menstrual disorders.",Difficult pose. Requires both strength and flexibility. ,"Avoid it while recovering from a recent surgery around the shoulders, spine, arms, or hips.People with a herniated disk or lower back issues must avoid this asana.Women during pregnancy and menstruation must avoid this pose.","It is performed dandasana like sitting position on the floor stretching the legs, arms, and spinal muscles. It requires great strength and balance to hold the pose.","Sit on the floor. Stretch your legs out in front of you.Bend forward and stretch your arms to hold your toes.Keep your torso as erect as you can.Inhale. Bring your left foot up to your left ear.Keep your hold on the other leg.Maintain the posture.Repeat the movement on the other side.
",normal breathing.,,,https://drive.google.com/file/d/1D64ZRVWzr-B7X5GrvL4OBL5xhFif_9Io/view?usp=sharing
